Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Hidden Spot - South San Francisco,4.7,"303 Grand Ave, South San Francisco, CA 94080","Sandwiches, Burgers, Sports Bars",37.65509,-122.41039,$$,"I was driving around looking for this place and then realized it's a kitchen spot inside the Hometown Hero's bar. These are without a doubt the best wings...
Located inside Hometown Heroes (sports bar). Parking is pretty easy! You order at their counter inside the bar, and are able to sit at a table or at the bar...
I decided to give this place another try because I wanted to know if my last experience was just an ""off"" day. 
It was not.
I brought my brother, and he..."
Rockoto Peruvian cuisine,4.5,"207 Linden Ave, South San Francisco, CA 94080",Peruvian,37.6545022,-122.410557,Not Available,"Ceviche Costeno this along with the taro chips is delicious. Chicken Empanadas are light crispy and delicious as well.  The light green sauce served...
This strip of restaurants has some of the tastiest food I've had here in South San Francisco. Rockoto was no different. We came here on cold Tuesday night...
Fairly new place in SSF to enjoy some
Pisco sours and ceviche. We enjoyed the original and maracuyá sours, both were perfectly frothy. We  shared the..."
Mazra,4.7,"504 San Bruno Ave W, San Bruno, CA 94066","Mediterranean, Barbeque, Tapas/Small Plates",37.62957,-122.41554,$$,"I showed up Sunday afternoon and the place is packed with limited parking. I was excited. Food must be amazing for this kind of crowd.... It was mid at...
Mazra is my #1 favorite Mediterranean place in the bay! Came during non-peak time and I felt like my food portions were bigger and juicer than last time....
How can I describe in a few words. 
""Fun, Fun, Fun, a must to come to""
Family friendly, bring a date and even a business meeting as well as big groups..."
Hula Hoops,4.2,"2278 Westborough Blvd, Ste 203, South San Francisco, CA 94080","Tiki Bars, Asian Fusion, Venues & Event Spaces",37.644909,-122.452615,$$,"Family Style Fun
Had my husband's birthday dinner here for 27 people and Hula Hoops did an excellent job! From my initial request up to my event, Hula...
The food was very delicious and the drinks were amazing. The service provided by the staff was excellent.
Wonderful food & great service in a very busy restaurant. Beautiful presentation & delicious!"
Brothers Cafe,4.3,"382 Grand Ave, South San Francisco, CA 94080","New American, Cafes, Breakfast & Brunch",37.655673395519,-122.411917256493,$$,"Yelp came through for me once again. The food and service were great. 
I was amazed at how fast our food came out. Will definitely be back.
I placed a phone order for pickup, but there seemed to be an issue with their phone system. The employee had difficulty hearing me and even got my name...
Had breakfast here this past Sunday.
Food was good with a large menu and friendly service.  Casual atmosphere.
Order and pay at counter and food delivered..."
Shabu Shack,4.5,"200 Grand Ave, South San Francisco, CA 94080","Japanese, Hot Pot",37.6550767748437,-122.40863623292476,Not Available,"Came for AYCE on a Monday night because there was no time like the present! AYCE is $44 and only offered Monday through Thursday. 
The American wagyu, lamb...
Came here for dinner last night with my bf after seeing this pop up on our radar a while ago. My sister also said she tried this spot and liked it so we...
Food is good but I think it's a bit overpriced. +$2 if you want your entrée to come with udon and $7 for a side of 6 fish ball with roe is crazy. 
Unless..."
Minari,4.4,"449 San Mateo Ave, San Bruno, CA 94066",Korean,37.6229,-122.41156,$$,"Came here on a Wednesday for dinner and was craving some good Korean food! 
Good: 
- Fast service - our army stews came out in less than 10 min 
- Really...
Came here on a Thursday evening at 6:30 with a couple of good friends. The place was full of patrons enjoying their food. Shortly after we were seated a...
Minari is a welcomed addition to San Bruno. It provides the perfect bookend to K Grill and Tofu House who has been a long classic on San Mateo Ave.
We..."
A One Kitchen & Bar,4.4,"677 San Mateo Ave, San Bruno, CA 94066","Bars, Seafood, Asian Fusion",37.627862,-122.411562,$$,"The noodle soups are delicious! 
I saw other reviews recommending their thai/malaysian food, so I followed their advice and it paid off. They have some...
Making a reservation in advance through Yelp was a seamless process, setting the stage for a culinary journey that exceeded expectations.
From the Thai...
You need to check out this amazing restaurant. Been here three times so far and the food and service have been consistently great. Tried the garlic crab..."
Mom’s Tofu,4.5,"415 Grand Ave, South San Francisco, CA 94080","Korean, Barbeque, Soup",37.65567107264459,-122.4131455022078,$$,"A restaurant in the downstairs of a building, it's easy to miss but definitely come by because this is some of the best food in the area. 
*Their signature...
The service is a little slow. You definitely need to ring the little bell on your table if you need anything at all because they're not coming to your table...
Was craving korean food and decided to try this and ended up being impressed! We ordered bibimbap, seafood pancake, and chicken soup. 
Bibimbap and the..."
Cochinita,4.5,"334 Grand Ave, South San Francisco, CA 94080",Mexican,37.65553641749801,-122.41086737055282,$$,"Loved the vibes, service was great, and the food was chef's kiss! I can't wait to come back! I also had a mocktail, ""un domingo en merida"", it was...
We first had Cochinita at their food truck in SF, loved it and then a few weeks later, saw they were opening up on Grand Ave! The food has ALWAYS been...
My friend treated to dinner as a birthday gift!  The food was delicious!!!!!
The service was fantastic they made us feel at home, they surprised me with a..."
