Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Fog Harbor Fish House,4.3,"39 Pier, Ste 202A, San Francisco, CA 94133","Seafood, Wine Bars, Cocktail Bars",37.80889,-122.41025,$$,"Bongjovi was an excellent server! He made us feel welcomed and appreciated his customer service!
Our server Bong Jovi was great. Food was great and service was quick. The calamari was fresh and prepared to perfection
Food was amazing! Crabs & Spinach dip, Cioppino and Surf & Turf were all so delicious! Luis was our server and did a great job."
Surisan,4.3,"505 Beach St, San Francisco, CA 94133","Korean, New American, Breakfast & Brunch",37.80678,-122.41756,$$,"TLDR: Good Korean Food- nothing groundbreaking but nonetheless satisfying.

Our meal started with a poke mango salad. Considering mango is not currently in...
It's definitely a go-to brunch spot. Will not disappoint. Little on the pricier side. Do not skip on the french toast.
Surisan knows how to BRUNCH! Located near Ghirardelli Square, my friends and I celebrated her first half marathon at Surisan. Joining the waitlist on Yelp..."
Pier Market Seafood Restaurant,4.0,"39 Pier, San Francisco, CA 94133","Seafood, Bars, Sandwiches",37.80996232340721,-122.41058029224074,$$,"Walking down the Pier 39 in a cold and rainy winter night, longing for something hot to keep myself warm. Stopped by the Pier Market and ordered Cioppino...
We take our goldendoodle puppy everywhere and were looking for a romantic outdoor setting for us as well. Well it just so happens that Pier Market offers...
Really great seafood restaurant option on the pier! Went with my family during lunchtime while they were visiting SF. We got clam chowder in a sourdough..."
The Codmother Fish & Chips,4.4,"496 Beach St, San Francisco, CA 94133","British, Fish & Chips, Seafood",37.8072702557489,-122.417093771758,$$,"Oh. My. Goodness. 

Seriously best thing we ate the whole trip. It's a MUST. Husband wasn't sure about it at first but man, good prices, nice people, a...
I remember coming here when my eldest son was a baby and being greeted by The Codmother herself! 

We arrived at a good time as the lunch rush was just...
I ordered the fish/shrimp combo with fries. It was a large serving & simply delicious.
The batter on the cod was light, the shrimp were juicy & fried to..."
Scoma's Restaurant,4.1,"1965 Al Scoma Way, San Francisco, CA 94133","Seafood, Bars",37.808952,-122.418487,$$$,"Our dining experience is so great we went back two days later! Food is as fresh as you can get from the pier to your plate, indeed! Valet is free and...
Classic spot in San Francisco's fisherman's Wharf. Touristy area but you can't deny the food and service. Both impeccable. Started with their version of...
I love seafood, but never get to cook it because my hubby hates the smell. Soooooo, when given the chance, I will find a seafood restaurant that will have..."
ABACÁ,4.0,"2700 Jones St, San Francisco, CA 94133",Filipino,37.80673720176911,-122.41693737401872,$$$,"Filipino fusion to the core.  Abaca was recommended and I came for dinner to give it a try.  The service was good.  The server was hospitable and helpful in...
As a Filipina-American, I was actually impressed by the food because it brought me back to what I would eat at family parties. However, for my friend,...
finally got to try abaca, which is the stunning contemporary filipino-californian restaurant blending together traditional filipino recipes a with seasonal..."
Crab House at Pier 39,3.9,"203 C Pier 39, San Francisco, CA 94133",Seafood,37.80916161,-122.41040192,$$,"Loved the crab chowder, and the service was excellent. The restaurant is very clean&tidy.
Omg! After our reservation fell through at another location and driving in from Stockton California. We decided to head over here. I am so glad our initial...
Well, it is indeed an unforgettable dining experience.

1.Excellent and well trained staff. Gino, our waitor, is the one who knows something.
2. Fresh and..."
The Socialite Crafthouse & Kitchen - Fisherman’s Wharf,3.9,"77 Jefferson St, San Francisco, CA 94133","Seafood, American, Desserts",37.8083653,-122.4134995,Not Available,"I know this review is going to feel like it's coming out of left field, but hear me out. The Socialite has a small section by the entrance that sells boba...
Last time I stayed in this area, this place was closed.  I'm glad to see it open again.  Cocktails were good and the ambience is casual.  You can sit on the...
Came here to check out what they had inside. 

Saw a few pizza boxes and a bar. The bartender was very feiendly and nice. Offered us if we wanted a drink...."
Franciscan Crab Restaurant,3.5,"Pier 43 1/2 Fisherman's Wharf, Fisherman's Wharf, San Francisco, CA 94133","Seafood, American",37.8092604518138,-122.414643587598,$$,"During Fleet Week at Fisherman's Wharf in SF, it is very crowded, but we were seated immediately & had a great view of the air show!

Our server was very...
I wanted some good crab and thought while in San Francisco, I'd be in luck. My wife and I stopped here on a rainy Wednesday for lunch while walking around...
Sadly disappointed and dissatisfied.

After walking past Franciscan several times over the years we decided to give it a try! 

We came on a Sunday night..."
The Italian Homemade Company,4.3,"716 Columbus Ave, San Francisco, CA 94133","Italian, Pasta Shops, International Grocery",37.801752,-122.411851,$$,"The place is cute, very nice personal and the food was pretty good!! 10/10 you need try lasagna!
A small no-nonsense, no-frills Italian restaurant where you pick your pasta, your sauce, and that's about it, you get your meal served on a paper plate and...
Very cute and small handmade pasta place! 

Ordered the veggie ravioli with marinara sauce and the oven baked tomato salad. The pasta serving was on the..."
