Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Hinodeya Japantown,4.2,"1737 Buchanan St, San Francisco, CA 94115",Ramen,37.786225740983646,-122.4301213192068,$$,"Best vegan ramen I've ever had the servers were really nice and our order was ready so quick
This place was great. We took my spouse here for a ramen birthday lunch. They have two different kinds of vegetarian ramen broth (regular and creamy with...
Service 5/5
Ambiance 5/5
Food 4/5

I was really excited to try the ramen here, especially the infamous vegan ramen that I kept hearing about. Most ramen..."
Daeho Kalbijjim & Beef Soup,4.5,"1620 Post St, San Francisco, CA 94115","Korean, Soup, Noodles",37.78601,-122.42858,$$$,"Second time here!! Came in at around 30 min after they opened, so we didn't have to wait at all! 

Ordered the kalbijjim (braised beef rib) and added...
I used to frequent Daeho quite a bit. Everything about this place is great! The food, the service and the ambiance! But i will say the price has gotten out...
Always a great spot to go with a group! The signature kalbijjim is a must get with different spice levels for everyone, would recommend adding glass noodles..."
Marufuku Ramen,4.5,"1581 Webster St, Ste 235, San Francisco, CA 94115",Ramen,37.78522,-122.43157,$$,"I went to have lunch with my brother and it was our first time here and I couldn't recommend this place enough. The service was amazing everyone was so nice...
Ramen was very well balanced and tasty. Staff are doing a great job taking care of the tables. It definitely worth the relatively short wait time. Will come...
Great ramen, but on the weekends the wait is long. One used to be able to sign into the wait list on yelp prior to arriving but no longer. You need to be..."
Matsuyama Shabu House,4.4,"1726 Buchanan St, San Francisco, CA 94115","Hot Pot, Japanese",37.78606,-122.42968,Not Available,"Delicious and quick. Super fair price for A5 wagyu, the omakase is definitely recommended. We had the spicy and chicken broth. The chicken broth was...
SAVE THIS for your next Date Night!! Don't be scared of the price, because the quality of each course is sooo worth it! That Glazed Mackerel app was one I...
I was excited to try this spot since it just opened and I love shabu shabu. I enjoyed that they had bar seating since I'm used to sitting so far away across..."
Yakitori Edomasa,4.0,"1581 Webster St, Ste 270, San Francisco, CA 94115",Japanese,37.78522,-122.43157,$$$,"Absolutely the best chicken I had in my life, and I'm super picky and generally do not even like chicken that much. The soups was absolutely out of this...
An absolute gem of a restaurant. I truly love going to Yakitori Edomasa because every single item there is DELICIOUS. I've been a couple of times during...
This place was hyped up quite a bit, but I finally caved and decided to try it out one night when I was craving yakitori. From what I heard, this place is..."
NONO,4.4,"1730 Fillmore St, San Francisco, CA 94115",Izakaya,37.78569,-122.43294,Not Available,"At NONO restaurant, the Chicken Skewers are a culinary masterpiece. Tender, succulent chunks of chicken, expertly marinated in a blend of herbs and spices,...
Highly recommend coming here!  It's a small izakaya right next to Japan town, and super convenient to park next to the garage and walk over. 

 We tried:...
We walked by this place on our way to Copra one night and we instantly thought ""wow it's so cute, we need to try it."" And we finally did! We came here at..."
Hoshinoya,4.2,"1740 Buchanan St, San Francisco, CA 94115","Japanese, Noodles, Soup",37.78618,-122.42971,$$,"I didn't know where to have dinner and stumbled up Hoshinoya after walking around Japan Town for a bit. I came around 6 pm so the restaurant wasn't too busy...
Passed by this restaurant and decided to give it a try and i'm so glad I did !! the food was so great, I tried the hoshi bun, kakuni bowl, and shared the...
Visited with friends before going through the Japantown mall. I opted for the bento, going with takoyaki and chicken teriyaki. My friend got the Katsu..."
Yuji,4.8,"1700 post st, Unit K, San Francisco, CA 94115",Japanese,37.7857557,-122.4301162,Not Available,"The nine-seater restaurant immerses you in a Japanese ambiance. The service was wonderful, with attentive staff constantly refilling our drinks. The dinner...
Terrible morning followed by a delicious & thoughtful dinner with great friends laughing for about two hours straight. 

Yuji's opened in 2022. Chef's...
We went for my birthday dinner and I have been spreading the word about Yuji nonstop when anyone asks about omakase experiences. I believe chef Yuji has set..."
Fermentation Lab,4.6,"1700A Post St, San Francisco, CA 94115","Cocktail Bars, Seafood, New American",37.78575,-122.4301,Not Available,"Accidentally made a reservation online for the wrong day & I called in and they were able to fix it for me! Our table was available right when we arrived....
Located in the plaza on post across from the main Japan town mall. Not sure what this was before, but it looks newly remodeled inside and had plenty...
What caught my interest about this place was the mocktails as a non drinker. Plus the fact that i had this place saved on ig only to have a friend send me..."
Copra,4.0,"1700 Fillmore St, San Francisco, CA 94115",Indian,37.78538352838357,-122.4327894,$$$,"Black Cod Polichatthu - 7/5
Thayir Vadai Chaat - 7/5
Oysters - 6/7
Marrow - 6/5
Duck - 4/5
Crab - 4/5
Fried Chicken - 4/5

Desserts:
God's own coconut -...
4.5 - very impressed! 

Food: everything we got was delicious. we ordered the pooris, truffle appam, fried chicken (this was a winner!), dosa, black cod...
So, I just had the most incredible dining experience at Copra on Fillmore! This Indian restaurant is a true gem, offering a unique twist on traditional..."
Waraku,3.8,"1638 Post St, San Francisco, CA 94115","Ramen, Noodles, Izakaya",37.785902199528174,-122.4287742,$$,"When in Japantown, might as well enjoy some ramen.  They have a very focused menu, signaling that they specialize in doing a few items really well.  The...
Very short wait time for us on a weekend but the restaurant was still pretty busy! The food was great, very satisfying and flavorful. 

I forgot what ramen...
Must-try: their black garlic tonkatsu 
Why? this is my favorite ramen in Japantown, especially if you're a garlic lover!
Protip: great vibes inside and kind..."
Kui Shin Bo,3.8,"22 Peace Plz, Fl 2, San Francisco, CA 94115","Japanese, Sushi Bars",37.785367,-122.429465,$$,"During my recent visit to the Japanese restaurant, I had the opportunity to explore a variety of dishes that offered a mix of delightful surprises and a few...
If you're looking for great Japanese cuisine in Japantown, I unfortunately cannot recommend Kuishinbo. 

In a place that should be known for its Japanese...
The broth for the ramen was flavorful and rich.
Mackerel was nicely cooked.
Teriyaki chicken was good but lacked some flavor. 
Miso soup was very hearty!..."
Udon Mugizo,4.1,"1581 Webster St, Ste 217, San Francisco, CA 94115","Japanese, Noodles",37.78501,-122.431741,$$,"My favorite Udon in the world other than in Japan!! Must try and the service is amazing...
Came here on a Sunday morning and had to wait about 15 minutes for a table. Didnt mind the wait because there is lots to do in this mall. 

Ordered the...
MY FAVORITE RESTAURANT IN SAN FRANCISCO.

The handmade noodles at Udon Mugizo have the perfect texture and the service is always tremendously quick. My..."
Yakiniq,3.3,"1640 Post St, Fl 2, San Francisco, CA 94115","Korean, Barbeque",37.78593523068744,-122.4288742,$$$,"This is one of the best Korean bbq places I've been to, and I've been to a lot! The meat was seasoned/marinated so well. The kimchi and ssamjang were...
How have I not reviewed YakiniQ after coming here AT LEAST yearly for the last 10 years?! I'll fight anyone who doesn't agree with this being the best AYCE...
The wait was pretty long considering we made a reservation and had to wait an additional 45 minutes, but thankfully you can roam around japantown while..."
7 Adams,4.2,"1963 Sutter St, San Francisco, CA 94115","American, Wine Bars",37.785957,-122.432615,$$$$,"As a former Marlena fan, I was hoping this place would be good and I was not disappointed! The overall vibe felt very much like Marlena, as did the menu....
Very lovely dinner at 7 Adams ... every dish is so creative and tasty, flavor are unexpected and yet in harmony ... seared black cod was cooked perfectly...
Sad to see there were bad experiences with service below. We arrived 10 min early for our 730 reservation and were seated immediately. They were super..."
