Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Bagatella,4.4,"3348 Steiner St, San Francisco, CA 94123","New American, Italian, Mediterranean",37.80038,-122.43754,Not Available,"Loved Bagatella! The decor is beautiful and the service was great.

We told them that we would be splitting two entrees and they split them for us no extra...
We went on Valentine's day for an early dinner and the only option was a prix fixe meal. I ordered the steak tartare, ribeye and key lime pie. The taste of...
Went for Valentine's Day and the place was extremely overcrowded. Furthermore the menu was prefixed and was not disclosed upon booking. On top of that a 20%..."
Radhaus,4.2,"2 Marina Blvd, Bldg A, San Francisco, CA 94123","German, Gastropubs, Breakfast & Brunch",37.806758,-122.431458,$$,"Great food and drinks.. Jesus served us and was super informative of the menu gave great suggestions and service.
Came here when it was packed at night and the next day during off-peak hours and both times the service was super fast and friendly. Food was good, beers...
Service was 5 star
Beer was 5 star
Food was 3 star.  

Went here with some friends in town that really enjoy german beer.  Went for a late lunch on a..."
Roma Antica,4.5,"3242 Scott St, San Francisco, CA 94123","Pizza, Italian, Pasta Shops",37.79989,-122.4408,$$,"Arriving at Roma
Prepared to leave in a coma
Starting with foccacia bread
After one taste, it longs in my head
Crispy prosciutto bruschetta 
Topped with a...
Roma Antica has secured its place as my favorite Italian restaurant in the city. It offers an exceptional dining experience characterized by incredible...
Enjoyed my dinner here! Pasta was perfectly al dente and so delicious. I recommend the Boscaiola (with pink sauce) if you like creamier sauces and Italian..."
MaMo,4.4,"3659 Buchanan St, San Francisco, CA 94123","Latin American, New American, Beer, Wine & Spirits",37.80384,-122.43366,$$,"Steak chimichurri - The Chimichurri sauce has an herbal, tangy flavor that complements the smokey, savory taste of the steak. The dish is served with a...
An absolute must-visit in San Francisco! I'm not entirely sure about its popularity, but I believe this place doesn't receive the recognition it deserves. I...
I had been wanting to try MaMo for ages, and I was finally able to head over. A friend and I made a meal out of appetizers and it was fantastic. Rating 4..."
L'mida,4.0,"2359 Chestnut St, San Francisco, CA 94123","Mediterranean, Moroccan",37.799796,-122.442139,Not Available,"Dining at this Moroccan gem was a truly enchanting experience. The moment I stepped in, I was captivated by the rich and inviting ambiance that evoked the...
L'Mida is a gorgeously elegant restaurant serving a fine dining take on Moroccan cuisine. The spacious, colorful, cozy interior featured lots of decorations...
Have you ever wanted to throw your hard earned money off a random cliff? Yes? Well, paying for your meal at L'Mida is exactly like that.

The food was..."
Wilder,3.9,"3154 Fillmore St, San Francisco, CA 94123","New American, Comfort Food, Breakfast & Brunch",37.798799,-122.435654,$$,"Good and fast service!... the food there is amazing while the chef and the waiting staff is very attentive!... I always ask the chef to surprise me with...
I was only able to visit here for their Winter pop up and the drink menu is a true highlight, it has wide range of nicely crafted drinks that cater to a...
Brunch:
The brunch menu was absolutely delicious. They have a great happy hour for brunch with $5 mimosas (you can only order 2 per person though). The food..."
Blackwood,4.2,"2150 Chestnut St, San Francisco, CA 94123","Thai, Breakfast & Brunch, Asian Fusion",37.800591,-122.438832,$$,"Blackwood is a a MUST if you're in the Marina area. My friend and I decided to do brunch nearby before a show at the Palace of Fine Arts which is about a 4...
Chicken and Waffle - 3.5/5, fried chicken sandwiched between 2 Belgian waffles. The chicken was super crunchy and unfortunately a little on the dry side....
really love asian inspired flavors in brunch foods
loved all the food we got, also the portions were quite big

really enjoyed the french kiss french toast..."
Mamanoko,4.3,"2317 Chestnut St, San Francisco, CA 94123","Japanese, Cocktail Bars, Sushi Bars",37.7999557,-122.4414378,$$,"Perfect spot for GNO! Went here with some friends on a Friday night and was seated right away with no reservation. The staff were extremely attentive and...
One of our favorite restaurants in all of SF! Food is delicious and great service / vibe. Highly recommend the Brussel sprouts, tuna tataki, chicken...
Food:
love love love the food here. Look - I know this is a Japanese spot and you wouldn't think to highlight the brussel sprouts, but they are phenomenal...."
Casaro Osteria,4.4,"2136 Union St, San Francisco, CA 94123","Pizza, Cocktail Bars",37.797457,-122.434507,$$,"food was delicious. service impeccable, lovely decor, 
sat indoors and watched food preparation by four chefs. 
offer small plates perfect for sharing...
I really enjoyed my experience at Casaro Osteria! Everything I ate was a 10/10 and we had great service. 

My party of four waited around a hour at 6p on...
Wonderful food! We got take out, so can't speak too much about service, but the hostess and bartenders were friendly upon my arrival for pick up. 

We got..."
United Dumplings,4.4,"2015 Chestnut St, San Francisco, CA 94123","Chinese, Noodles, Asian Fusion",37.800599,-122.436533,$$,"On Friday night, I walked in to this Marina location of United Dumplings and was immediately recognized by United Dumplings' staff member, Steven. I was so...
got the sichuan dan dan noodles (flavor was good but the texture of the noodles was a bit off imo) 

food came out extremely fast tho
Some relatives checked in around 8pm on Xmas evening and normally bustling Lombard was dead.  Everyone had closed ultra early.  We didn't want to drive to..."
