Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Bottega,4.3,"1132 Valencia St, San Francisco, CA 94110","Italian, Pasta Shops, Pizza",37.75472,-122.4212,$$,"We popped into Botegga unexpectedly. The wait staff was friendly and unassuming. The vibe was good. the food was amazing. I had a delicious onion soup. the...
Love this food so much! Service and everything else could not possibly be better. Amazing energy to the space as well.
A hidden gem! The food is top-notch, and the prices won't break the bank. The staff is welcoming."
Base Camp,4.5,"2400 Folsom St, San Francisco, CA 94110",Himalayan/Nepalese,37.75873,-122.41502,$$,"My friend from New York says this is the best restaurant she's been to in SF! My favorite dishes here:

* Kale Chaat - sooo crispy and smothered in a tangy...
Amazing Nepalese food. Fun place for a group of 4-6 so you can share more plates. 

The standouts were the octopus appetizer, butter chicken, paneer, and...
Service 5/5
Ambiance 4/5
Food 4/5

First time having Nepalese food and it was great. Lots of flavor and possibly a little salty for my liking but spices..."
Limón,4.0,"1001 S Van Ness Ave, San Francisco, CA 94110","Peruvian, Tapas/Small Plates",37.7570514,-122.416461,$$,"I have been coming here for over 10 years! It is honestly our favorite rotisserie chicken in San Francisco. It is also one of my brother's favorite...
Limón is a Peruvian restaurant located in the mission. It has a modern interior with wide open spaces, and is great for large groups and smaller parties....
Adorable Peruvian restaurant with two locations in SF, not too far from each other, both with difficult parking (but we parked at El Capitan hotel for $10..."
Farmhouse Kitchen Thai Cuisine,4.1,"710 Florida St, San Francisco, CA 94110","Thai, Coffee & Tea, Cocktail Bars",37.760192883932795,-122.4114188698492,$$,"Just stopping by to say this place is the TITS.
24 hour beef soup for the win!!!! Extra spicy PLEASE.

And the farmhouse fried chicken, TO DIE FOR. Love...
For fashionable Thai food they are worth the trouble, with many excellent items including the pad thai and the branzino. This is one of the rare places...
Great overall experience with Farmhouse! It's a bit of a bummer that it is strictly beer and wine as their cocktails made with wine based alcohol  is..."
San Ho Won,4.5,"2170 Bryant St, San Francisco, CA 94110","Korean, Barbeque",37.75961276313876,-122.4102472,$$$$,"Came here for my birthday dinner and it did not disappoint! I think this is the best Korean restaurant I've eaten at in the Bay and it's 100% worth the...
I left my fiancé to plan my birthday and he didn't disappoint. He previously had San Ho Won with his old friends yet I have 0 knowledge of San Ho...
Excellent meal. Loved the beef neck and galbi. Everything else was all good. Great service and very accommodating of my allergy. The ambience was very nice..."
Mijoté,4.5,"2400 Harrison St, San Francisco, CA 94110",French,37.758894,-122.41267626257267,Not Available,"4.5/5

Ambiance: great date night spot - intimate corner restaurant with smaller tables and bar seats that face the finishing section of the kitchen....
My friend and I came here for the Luna New Year's Eve dinner and we are impressed by most of the dishes. Also the dishes are all in pretty decent portions...
What a wonderful gem in the mission district! At $80+/pp for a 4 course meal, I'd say this was a great value! There is an option to add several dishes and..."
Okaeri Japanese Bistro,4.5,"3515 20th St, San Francisco, CA 94110","Sushi Bars, Japanese",37.75839,-122.41955,$$,"My girlfriend and I decided to come to Okaeri for our anniversary and the service was fantastic. They gave us an awesome anniversary card signed by their...
People on TikTok raved about this place and hailed it for being one of the most affordable omakases in the city (normally $90) so I knew I had to try it!...
Recommend making a reservation online instead of walk-in. They will ask you to leave after 2 hours as there is another reservation booked afterwards. 

We..."
Al Carajo,4.8,"3224 1/2 22nd St, San Francisco, CA 94110",Mexican,37.75558552264688,-122.41941679531013,$$,"These people are nice, friendly, and great cooks.  The breakfast burritos are amazingly prepared and served with a  sauce on the side, kinda like chipotle,....
THE FOOD - Excellent. We had the Cochinita Tacos  (pork) and the Valencia Fish tacos. The meat and fish were perfectly seasoned and the blue corn tortillas...
Obsessed with the chilaquiles here! I'm usually super picky when it comes to chilaquiles. Al carajo really surprised me with how perfect my meal was. The..."
Gola,4.7,"819 Valencia St, San Francisco, CA 94110","Mediterranean, Cocktail Bars",37.75976,-122.42111,Not Available,"Just started doing brunch recently and honestly some of the best shakshuka I've had. Service was amazing and nice little parklet for eating.
Gola is on the cutting edge of Tunisian food as the ONLY Tunisian restaurant currently in San Francisco.  It's a very cozy place located in the heart of...
We had a great meal here on a Friday night!  Excellent cocktails, delicious food, good (though inconsistent) service, and lovely ambiance!

My husband and I..."
Lost Resort,4.5,"2736 20th St, San Francisco, CA 94110","American, Cocktail Bars, Breakfast & Brunch",37.75948,-122.40873,$$,"Lost Resort is in between a tiki bar, casual divey place, and a sit down place to have bites to eat. I'd highly recommend for the drinks and I'll rate...
When we got here it was pretty rowdy, there were some large groups that were doing lots of shouting, so that was a bit of a bummer. Our server was great...
Located in Design District, Lost Resort is a cute, casual soot for drinks with friends or a quick dinner. I came around 4pm and there wasn't many people..."
True Laurel,4.2,"753 Alabama St, San Francisco, CA 94110","Cocktail Bars, Breakfast & Brunch, American",37.75953,-122.411448,$$,"I love this bar.
It is one of my absolute favourite bars in the city.
It's beautiful, the servers and bartenders are friendly and knowledgeable, and the...
Have been here for dinner many times, but decided to come for brunch, and was happy I did. I think the best part about this place is there isn't a huge...
4 stars for food and service. Parklet seating was in a dark street but still was a nice ambiance. It's a quiet street too, so you can enjoy the outdoors..."
Buddy,4.5,"3115 22nd St, San Francisco, CA 94110","Bars, Cafes, Coffee & Tea",37.7554,-122.41693,Not Available,"Wow, okay where to begin.. this review is solely about their food. Just going to come out and say this place deserves at least a michelin star for their...
Service 5/5
Ambiance 5/5
Food and Drink 3/5

Staff and ambiance were very friendly and comfortable making the overall experience great. Solid spot for bites...
Cute wine bar with nice selection of wines, beers/ciders, and wine cocktails. The wine cocktails were fantastic. They do have food here as well though we..."
Chuy's Fiestas,4.5,"2341 C Folsom St, San Francisco, CA 94110",Mexican,37.759864,-122.414536,$$,"Came here for lunch on the weekend and had some great tacos! It's a nice Mexican restaurant with great food. I've been to their other location downtown and...
The backyard seating here is fantastic, portions are pretty big, and no complaints at all on the price point. 

The only slight negative is that the birria...
This place is not super obvious, from the outside I didn't expect they had a nice backyard at the back! It's really nice chill place for hanging out with..."
"Bon, Nene",4.2,"2850 21st St, San Francisco, CA 94110","Japanese, Asian Fusion",37.75762490446,-122.411629484421,$$,"Cute little restaurant with good food and solid service.

Parking is . bad. We came right at opening and had to park 3 blocks down in a parking lot far...
Came here for a double date and the food was fantastic but service was a bit slow. It was a rainy day and I think because of certain laws they had to keep...
A small, warm Japanese restaurant. Wait for 4 people on a Friday evening was around 30 minutes. 

+ Chicken Karaage ($10): different batter from other..."
Beretta Valencia,4.0,"1199 Valencia St, San Francisco, CA 94110","Italian, Pizza, Breakfast & Brunch",37.7538556,-122.420628,$$,"One of the best Pizzas in San Francisco. Love their Margarita pizza especially. Consistently great!
Came here for Restaurant Week back in April. $35 and you get to pick an appetizer, entree, and dessert. Now that's a deal, especially in SF!  

Loved the...
It's only 2 stars because the food was delicious as always. I used to come here all the time when I lived in sf, I'm not sure what happened with the service..."
Casements,4.4,"2351 Mission St, San Francisco, CA 94110","Pubs, Irish, Beer Gardens",37.759411,-122.418967,$$,"Vibes vibes vibes vibes.
Did I say vibes?
Celebrate your birthday here, hang out here, go here at the end of the week, come here when you don't know where...
Walked in on a Friday evening with 6 people to have some drinks for our friends birthday. It wasn't that busy, maybe because it was the day before Christmas...
A good place to visit. Nice place with very good quality of food.

Great food with a varied menu and good portions, a good atmosphere with good music, and..."
Chome,4.6,"3601 26th St, San Francisco, CA 94110","Izakaya, Gastropubs, Ramen",37.748728692831655,-122.42157237486626,$$,"This is, hands down, my favorite restaurant in San Francisco. Whenever my friends ask for a recommendation, I always suggest Chome. I've been going there...
I came here for my birthday dinner and it was so beautiful, cozy, and delicious. 

With a wide array of foods on the menu, I have to recommend the udon and...
Came across this place while searching for restaurants in SF, as I rarely go to the city. Wanted to go to a restaurant with some good ambiance, with a mom..."
Loló,4.2,"974 Valencia St, San Francisco, CA 94110","Mexican, Tapas/Small Plates",37.75739,-122.421476,$$,"Food was delicious. Surprisingly so. We had the sweet potato and the heart of palm ceviche. Both I highly recommend. They were also able to make the sweet...
I visited Lolo with a reservation and was seated right away. The service was friendly and attentive. I ordered the cauliflower al pastor tacos, mushroom...
Wanted to love this place, but the experience fell flat unfortunately. The food itself was not bad (4/5) but not so groundbreaking that I feel the need to..."
El Techo,3.9,"2516 Mission St, San Francisco, CA 94110","Latin American, Cocktail Bars, Breakfast & Brunch",37.756576,-122.4190863,$$,"Hmmm I've been eager to try El Techo for a long time now, and finally got the chance to have a dinner here with some friends. The restaurant itself is very...
El Techo!!!!
Such a cute spot with great views.
It's a rooftop outdoor ambiance. During cold days it is covered to block air and heaters are on which help....
I was pleasantly surprised at how cool this rooftop restaurant is! 
We went on Saturday for brunch around noon, from what we heard from another guest, it is..."
Trick Dog,4.1,"3010 20th St, San Francisco, CA 94110","Cocktail Bars, American",37.759237240545,-122.41119358402618,$$,"Trick Dog is a pretty cool bar that has a rotating drink menu that never ceases to amaze me. Offering a variety of craft cocktails, some fruity, some spirit...
Place is still a solid and cool place for drinks! Stopped by on a cold and rainy Friday, and was surprised by their non-alco drinks: 3 in all, featured well...
I'm always searching for the next good cocktail bar and I've had the ability and experience at some of the best in the world, and I have seen bartenders..."
Penny Roma,3.9,"3000 20th St, San Francisco, CA 94110","Italian, Venues & Event Spaces",37.75927638217345,-122.41106362654531,Not Available,"The service was 10/10 from the moment you walk in. The atmosphere was fitting for the mood and the area. The food we had gotten was the bread (pan) the...
We went here on a Saturday for an 8:30pm dinner reservation to celebrate an early Valentine's Day celebration. There was no wait, but the restaurant was...
4.5 stars rounded up. 

Dinner spot Penny Roma shares their space with lunchtime spot Flour + Water Pasta Shop (they have excellent sandwiches.) 

My group..."
