Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Fog Harbor Fish House,4.3,"39 Pier, Ste 202A, San Francisco, CA 94133","Seafood, Wine Bars, Cocktail Bars",37.80889,-122.41025,$$,"Bongjovi was an excellent server! He made us feel welcomed and appreciated his customer service!
Our server Bong Jovi was great. Food was great and service was quick. The calamari was fresh and prepared to perfection
Food was amazing! Crabs & Spinach dip, Cioppino and Surf & Turf were all so delicious! Luis was our server and did a great job."
Sotto Mare,4.3,"552 Green St, San Francisco, CA 94133","Seafood, Italian, Bars",37.79979,-122.40834,$$,"My favorite seafood place
Oysters, cioppino, 
Great brunch, lunch
My belly is happy
Best damn cioppino in town 
Coming here for over 20 years
Happy valentines
Came here about a month ago when it was raining.

Let me just start off by saying order a ride share because just like the rest of San Francisco forget...
We have been on a hunt for that ""perfectly"" seasoned steam mussels ever since our favorite spot at Little Italy in San Diego removed it from their menu, and..."
Bocconcino,4.8,"516 Green St, San Francisco, CA 94133",Italian,37.79982,-122.40783,Not Available,"This is an absolutely amazing restaurant.   Every dish was prepared exquisitely.  Great staff and ambiance.   I very very highly recommend this restaurant....
With the New Year upon us, it was time to try something new so this was the setting for my midweek lunch.  Entering, I found the dining room empty and there...
Note there is no website for this place, so no official menu, you need to look at menu photos on Yelp - come on, it's 2024, you don't have a nephew that can..."
Surisan,4.3,"505 Beach St, San Francisco, CA 94133","Korean, New American, Breakfast & Brunch",37.80678,-122.41756,$$,"TLDR: Good Korean Food- nothing groundbreaking but nonetheless satisfying.

Our meal started with a poke mango salad. Considering mango is not currently in...
It's definitely a go-to brunch spot. Will not disappoint. Little on the pricier side. Do not skip on the french toast.
Surisan knows how to BRUNCH! Located near Ghirardelli Square, my friends and I celebrated her first half marathon at Surisan. Joining the waitlist on Yelp..."
Pier Market Seafood Restaurant,4.0,"39 Pier, San Francisco, CA 94133","Seafood, Bars, Sandwiches",37.80996232340721,-122.41058029224074,$$,"Walking down the Pier 39 in a cold and rainy winter night, longing for something hot to keep myself warm. Stopped by the Pier Market and ordered Cioppino...
We take our goldendoodle puppy everywhere and were looking for a romantic outdoor setting for us as well. Well it just so happens that Pier Market offers...
Really great seafood restaurant option on the pier! Went with my family during lunchtime while they were visiting SF. We got clam chowder in a sourdough..."
The Italian Homemade Company,4.3,"716 Columbus Ave, San Francisco, CA 94133","Italian, Pasta Shops, International Grocery",37.801752,-122.411851,$$,"The place is cute, very nice personal and the food was pretty good!! 10/10 you need try lasagna!
A small no-nonsense, no-frills Italian restaurant where you pick your pasta, your sauce, and that's about it, you get your meal served on a paper plate and...
Very cute and small handmade pasta place! 

Ordered the veggie ravioli with marinara sauce and the oven baked tomato salad. The pasta serving was on the..."
Piccolo Forno,4.6,"725 Columbus Ave, San Francisco, CA 94133","Pizza, Italian",37.8013699308642,-122.411981038749,$$,"It was really fantastic dinner. The service was really kind and great. I ate lasagna and Ravioli di Aragosta. the dishes was satisfying so much. The lasagna...
Immediately friendly, welcoming shoebox of a place-
Lots of wild colors, and they kindly reserved a table for us when we were about15 minutes out. The blank...
This place is amazing. The staff are all extremely friendly, the welcome you with an Amazing reassurance of welcome. The location is amazing and heart to..."
Hillstone,4.0,"1800 Montgomery St, San Francisco, CA 94111","New American, Wine Bars",37.805712595582,-122.405280545354,$$$,"Overall, the environment and service at Hillstone are very good, the decoration style is very American, the ingredients used in the dishes are good, but the...
Had an amazing dinner at Hillstone last night! From the moment you walk in, the vibe is great, the hostesses were welcoming and everything pointed to signs...
I've lived in SF for quite some time and have never been to this place. Decided that I would take my gf here for a Friday night dinner date. Not the biggest..."
XICA,4.3,"1265 Battery St, San Francisco, CA 94111","Mexican, Gluten-Free",37.80294,-122.402202,$$,"This restaurant is beautifully situated and gorgeously decorated. The food was phenomenal--I had the fried chicken, churro waffles, and potato taquitos and...
As a Celiac who grew up in the Bay Area, it's ridiculous how few gluten-free options there are for such a large metro area. Luckily, XICA (pronounced...
A hidden away restaurant, this place is honestly somewhere I would have never expected myself looking up and choosing to try. I went here with my party of..."
Ollei,4.5,"2127 Polk St, San Francisco, CA 94109","Korean, Comfort Food, Asian Fusion",37.796378,-122.422173,$$,"Mmm tasty yummy mmm a pristine establishment with ideal cocktails. Thank you ollei, thank you ollei
I like this pleasant, low frills place. One of the most flavorful Korean vegetarian tofu soup options in the city and relatively inexpensive. Maybe...
Went in on a Friday early evening. Greeted and seated quickly. We were the only ones there. 

Ordered sake and beers. Pretty tasty. 

The pot stickers were..."
Coqueta,4.0,"The Embarcadero, Pier 5, San Francisco, CA 94111","Spanish, Tapas/Small Plates",37.798588,-122.396639,$$$,"I had always wanted to come to Coqueta, and today turned out to be a lovely night to do so. 

The food is exquisite; I was quite conservative in my order...
We walked in as a party of two as it was too late for reservations but they were able to seat us at the bar first and somehow a high table opened up in the...
My girlfriend and I, both food industry folks, were excited to try Coqueta by the water. Sadly, it turned out to be a bit of a letdown.

First, the lady on..."
Crab House at Pier 39,3.9,"203 C Pier 39, San Francisco, CA 94133",Seafood,37.80916161,-122.41040192,$$,"Loved the crab chowder, and the service was excellent. The restaurant is very clean&tidy.
Omg! After our reservation fell through at another location and driving in from Stockton California. We decided to head over here. I am so glad our initial...
Well, it is indeed an unforgettable dining experience.

1.Excellent and well trained staff. Gino, our waitor, is the one who knows something.
2. Fresh and..."
Osmanthus Dim Sum Lounge,4.4,"504 Broadway, San Francisco, CA 94133","Cocktail Bars, Dim Sum",37.79815,-122.405662,$$,"i came here with my team (8 people) on a wednesday around 12:30 pm and we were seated immediately. we sat at a long table instead of a circular table with a...
This is a reliable and convenient restaurant for those of you who likes dim sum with modern decor and some non traditional items.
A pretty upscale dim sum...
We have been here twice, both times the food was yummy.  We never got the same thing, either.  

Parking was easy, though navigating there can be an issue..."
