Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
The Snug,4.0,"2301 Fillmore St, San Francisco, CA 94115","Cocktail Bars, New American",37.79094,-122.43443,$$,"Some of the best drinks ever, with the quickest and most efficient service. I love a bar that is nice, quiet enough where you can have a conversation, and...
Food: I got the impossible burger and fries. They were good for bar food, but I would not come back here for dinner as it was not as inventive as I...
First let me start by saying I'm so happy that this special place made it through the pandemic. Second, anyone that has an issue with a 20% added living..."
Dumpling Story,4.6,"2114 Fillmore St, San Francisco, CA 94115","Asian Fusion, Chinese, Noodles",37.7893075,-122.43380556906494,Not Available,"Oh wow upscale ambiance with Chinatown menu. Intestines with noodles. More kinds of soup dumplings than I can list. And lots of small plate combos. 

You...
Warm fresh dumplings on a cold sf day? Say less. We waited only for about 10 min to get seated after getting on the Yelp waitlist at the kiosk - it's a...
I've been here a couple of times now and I plan on going back in the future.  The dumplings here are absolutely delicious!

First, I'd like to say that..."
Chouquet's,3.4,"2500 Washington St, San Francisco, CA 94115","French, Coffee & Tea, Bars",37.791795,-122.434541,$$,"Been here a few times, its always been good. We had the beef stew and the short ribs - both dishes were outstanding. 

The smoke trout salad was also a hit....
I stumbled on Chouquet's the other day and I am so glad that I gave it a try!! This adorable corner cafe was welcoming and beautiful inside. 

We sat down...
The service and ambiance are great at Choquet's; it's nice to sit outside, and the staff are friendly. However, the food is okay. We might've just not..."
Mattina,3.9,"2232 Bush St, San Francisco, CA 94115","Italian, Coffee & Tea, Breakfast & Brunch",37.787223387923554,-122.4341518,Not Available,"My new favorite spot in PAC Heights. The food was superb - really fresh and bright ingredients and very creative and flavorful dishes. Great service and...
Dinner several times and the pasta is outstanding.  Inventive, but delicious. Not your average Italian fare. We get the meatballs, the Brussels sprouts and...
After some shopping, we were in the mood for pasta, so we walked into this place. The first alarm bell should have been that we immediately were asked if we..."
The Tailor's Son,4.2,"2049 Fillmore St, San Francisco, CA 94115","Italian, Cocktail Bars",37.788589,-122.434054,Not Available,"Hip, large, cool spot in Pacific Heights, I reserved a table at 7pm Saturday afternoon for the same evening right here on Yelp!

Great Italian fare.  The...
I have been here a few times, and it has always been a good time. The ambiance is really nice, and it's not too loud on the inside. Great location, and...
The food was absolutely delightful!
The calamari was a unique experience for me, and it was surprisingly delicious without feeling too heavy.
The pesto..."
Pinsa Rossa,4.7,"2101 Fillmore St, San Francisco, CA 94115","Italian, Pizza, Beer Bar",37.78896562756244,-122.43397533119676,Not Available,"Squeezed us at a table for an hour and was amazing! Super nice staff and the gnocchi melts in your mouth! Amazing all around and our new fav gnocchi spot....
First time visiting from SD, friendly staff, delicious appetizers to share in a cozy window spot. Can't wait to come back for a visit
Very fast and friendly service! Beautiful decor & indoor dining area -- would be a cute spot for drinks and appetizers for a girls night, followed by some..."
Dynasty Dumpling ,4.7,"2786 California St, San Francisco, CA 94115","Dim Sum, Noodles",37.788291,-122.440186,$$,"Ordered take out from them several times- every single dish is great. Fresh, hot, quality ingredients.
service was pretty fast! the ambiance inside was also nice. food was not bad, you can tell it's much better quality than run of the mill chinese spot. not...
we came right after arriving to the airport and it didn't disappoint one bit. the service is amazing and the food was PHENOMENAL. it was also super easy to..."
Bubu,4.6,"2417 California St, San Francisco, CA 94115",Sushi Bars,37.788694,-122.434195,Not Available,"Well, this was a fantastic find. 

I was actually heading next door to a cupcake place, and happened to pass by this restaurant. Had no idea what it was,...
Fish was fresh and delicious, the rolls were carefully crafted and had good flavor profiles. They had unique rolls which made them much more enjoyable, as...
New sister restaurant to NONO with a menu focused on sushi & nigiri. We really enjoyed NONO and were excited to try Bubu. Best sushi in sf with really fresh..."
little shucker,4.4,"2016 Fillmore St, San Francisco, CA 94115",Seafood,37.788292,-122.433458,Not Available,"Popped in here briefly on the Friday before Valentines Day (5:30pm) and there was plenty of seating! 

Very cute ambiance / decorations. Love the fun...
Came here with a few friends and was sadly very underwhelmed. We tried most things on the menu and one thing after another - things were just ok. Nothing...
We've been wanting to try little shucker for a while, and last week we finally did. 

It was a Friday night, and while they were plenty of tables, they were..."
NONO,4.4,"1730 Fillmore St, San Francisco, CA 94115",Izakaya,37.78569,-122.43294,Not Available,"At NONO restaurant, the Chicken Skewers are a culinary masterpiece. Tender, succulent chunks of chicken, expertly marinated in a blend of herbs and spices,...
Highly recommend coming here!  It's a small izakaya right next to Japan town, and super convenient to park next to the garage and walk over. 

 We tried:...
We walked by this place on our way to Copra one night and we instantly thought ""wow it's so cute, we need to try it."" And we finally did! We came here at..."
Troya,4.0,"2125 Fillmore St, San Francisco, CA 94115","Mediterranean, Turkish",37.7893743915288,-122.434076070785,$$,"LOVE LOVE LOVE

Came in right when the restaurant opened and was seated right away with no reservation needed. It does start to pick up 30 minutes after...
Ordered Troya for the first time and it did not disappoint! Very good Greek food. We got the chicken pita, Turkish fries and salmon skewers.

The salmon...
Troya is a Turkish restaurant on Fillmore Street in Pacific Heights. The atmosphere is trendy/bougie. Occasionally they have a DJ spinning. It is very stark..."
Jackson Fillmore Trattoria,3.8,"2506 Fillmore St, San Francisco, CA 94115","Italian, Wine Bars",37.7927,-122.43429,$$,"Hands down one of the best pasta places in the city!! We started as a party of 3 and they were kind enough to adjust our reservation a few hours before for...
Last night I went for a meal at the bar before a concert. I ordered the zuppetta with seafood. It was served on a plate. Not a bowl. Nobody came by to ask...
I've been wanting to try Jackson Fillmore Trattoria for years! It's a neighborhood staple and has been around for a very long time - there must be something..."
Marufuku Ramen,4.5,"1581 Webster St, Ste 235, San Francisco, CA 94115",Ramen,37.78522,-122.43157,$$,"I went to have lunch with my brother and it was our first time here and I couldn't recommend this place enough. The service was amazing everyone was so nice...
Ramen was very well balanced and tasty. Staff are doing a great job taking care of the tables. It definitely worth the relatively short wait time. Will come...
Great ramen, but on the weekends the wait is long. One used to be able to sign into the wait list on yelp prior to arriving but no longer. You need to be..."
La Mediterranee,4.2,"2210 Fillmore St, San Francisco, CA 94115","Middle Eastern, Mediterranean, Armenian",37.7900665,-122.4338783,$$,"Love this place. Not only is it a local spot for me in San Francisco. It will also do large parties without much fuss. 
I hosted a party of 19 for a group...
I've been coming to La Med since I was a kid, growing up in SF. It's a cute little restaurant with colorful decor and tasty food! Great for small groups or...
They are having an anniversary promotion checking on Yelp will get a free glass of champagne! I got the lentil soup with Mediterranean lunch plate. The..."
Woodhouse Fish,4.1,"1914 Fillmore St, San Francisco, CA 94115","Seafood, New American",37.78742,-122.43327,$$,"A excellent seafood-themed restaurant conveniently located on Fillmore. I'd been meaning to try Woodhouse Fish for a while as I love seafood, and it did not...
We loved Woodhouse Fish! It's an affordable seafood place with generous portions for reasonable prices. We're sad to know they're closing one of their...
I love this place! It's one of my all-time favorite place because the food is so good and the price is reasonable.  I can't believe that I have gotten so..."
Yakitori Edomasa,4.0,"1581 Webster St, Ste 270, San Francisco, CA 94115",Japanese,37.78522,-122.43157,$$$,"Absolutely the best chicken I had in my life, and I'm super picky and generally do not even like chicken that much. The soups was absolutely out of this...
An absolute gem of a restaurant. I truly love going to Yakitori Edomasa because every single item there is DELICIOUS. I've been a couple of times during...
This place was hyped up quite a bit, but I finally caved and decided to try it out one night when I was craving yakitori. From what I heard, this place is..."
The Italian Homemade Company,4.3,"1919 Union St, San Francisco, CA 94123","Italian, Pasta Shops, Desserts",37.79742,-122.43097,$$,"Fresh pasta was so delicious!

We got sage and butter. Simple and fresh. Savory and healthy. 

Cassone (?) Stuffed sandwich was also great. The bread...
I heard of this place through Tiktok and thought I'd give it a try. The Italian Homemade Company is known for make your own pasta plates, where you can...
My wife and I are in town on a business trip and found this place as we were wanting Italian. She ordered the lasagna.  She said it tasted 'okay' but missed..."
