Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
C.Q. Noodles,4.5,"2121 Clement St, San Francisco, CA 94121","Chinese, Noodles, Soup",37.78219994794561,-122.48209291576292,$$,"One of those unquie one of a kind special places with delicious food you'd never make at home

We had the House Special Beef Rib Noodle Soup and the...
Came here on a Wednesday afternoon because this place has been on my list for a while. I mainly wanted to come here after searching for hand pulled noodles....
We were very excited to try this place out, we love knife cut noodles. The house special beef rib noodle soup was perfect, the beef were tender, noodles..."
JIJIME,4.3,"5524 Geary Blvd, San Francisco, CA 94121","Korean, Asian Fusion, Ramen",37.7806549278456,-122.478949574806,$$,"In the past years, they've always been known for their small dishes, particularly their quesadillas. They've changed their quesadillas offering over the...
Came here with friends to give this place a try. The exterior and interior gives the restaurant a cozy vibe. The restaurant wasn't crowded so we got seated...
found this cute and cozy spot that was recommended on tiktok and I wasn't disappointed! the food was filling and delicious and the service was good as well!..."
Lokma,4.6,"1801 Clement St, San Francisco, CA 94121","Mediterranean, Breakfast & Brunch, Vegetarian",37.78215,-122.47867,$$,"Loved my Turkish breakfast special for two. It was super crowed, people love this restaurant. Service was good. I look forward to returning and taking other...
Yup. Lokma is a 5 for me.

My boyfriend and I were wanting to try something new. He suggested checking out Lokma, as a twist to our traditional bottomless...
Lokma had been on my Yelp bookmarks for a while. The small platters, dishes, presentation, and everything about it just looked so appealing. We had decided..."
Taste Of Old Street,4.4,"5336 Geary Blvd, San Francisco, CA 94121","Chinese, Kebab, Noodles",37.780714,-122.476806,Not Available,"The food here is amazing. I love their barbecue. It's amazing. The beef noodles are delicious and spicy. They're the best noodles in San Francisco. I'll be...
Very good, every bite is full of flavour, those fried lambs always bring me back for more and there are so many things to eat that are so delicious, I have...
Food  was delicious. Honestly I can say it was one of the best Szechuan skewers places I've tried in the city."
Pearl,4.4,"6101 California St, San Francisco, CA 94121","Italian, Seafood, Mediterranean",37.7838344,-122.4830463,$$$,"Great neighborhood restaurant!  Flavorful veg course selection.  Tasty, not too filling, but definitely hearty entrees.
Came here on a Saturday night without a reservation. We waited for 40 minutes before we were seated. I'm normally not a huge fan of Italian but this is one...
The food is so fresh and delicious! 

I got the trout and it was an amazing dish. It was crispy on the outside and tender on the inside. The green beans..."
Hokkaido Sashimi Marketplace,4.4,"5423 Geary Blvd, San Francisco, CA 94121","Japanese, Live/Raw Food, Seafood Markets",37.78025038749841,-122.4777186852402,Not Available,"Ordered a party platter (Hokkaido Five-O), several CA Rolls with real crab and other rolls to-go on New Year's Eve. They were incredibly busy completing...
Came here after this place randomly popped up in my social media feed. I was pleasantly surprised that a new Japanese market had opened and I knew I had to...
I enjoy coming here because it's convenient, clean, good choices, good quality sushi and sashimi; all packaged to go. 

It's not a huge place but it's fun..."
Sonamu Korean Restaurant,4.5,"5716 Geary Blvd, San Francisco, CA 94121",Korean,37.78058,-122.480882,$$,"Great, attentive service and warm lighting inside. Galbi Tang broth is super flavorful with large portions of meat, and they're consistent with refilling...
Delicious Korean restaurant that you must add to your list of what to try next!! It's a quiet neighborhood joint that has a large menu to choose from. 

We...
one visit to sonamu already put them on the top of my favorite korean spots in sf! 

headache-free parking in the outer richmond? (unless you're competing..."
Big Fish House,4.6,"2109 Clement St, San Francisco, CA 94121","Sushi Bars, Japanese, Cocktail Bars",37.781939,-122.481961,Not Available,"Amazing staff with a great ambiance and some of the best sushi I have ever tasted. The double toro roll melts like butter at first bite and stole my heart....
Hella good food
Hella cool owner
Hella want more

Hella good review  really loved eating here!
Came with a group of friends to celebrate a birthday. The fish quality was great. However, there were a few things that just made the experience poor.

1...."
An Chi,4.5,"5827 Geary Blvd, San Francisco, CA 94121",Vietnamese,37.7799,-122.48202,$$,"For takeout on Monday, October 16

Husband wanted Vietnamese cuisine for lunch. An Chi was close enough, a little over 2 blocks, for us to walk there and...
An Chi is great comfort food!!  Flavorful soups whether you want chicken broth or bone broth on a cold night.  

My go to is their chicken banh mi...
Solid Vietnamese food in the Richmond!

Bun rieu had a nice clean tomato crab flavor to it.  Boosted with lots of fried shallots so you'll get that too with..."
Izakaya Mayumi,4.6,"2221 Clement St, San Francisco, CA 94121",Izakaya,37.78195,-122.48316,Not Available,"From the outside, this izakaya is so inconspicuous that I didn't realize I had arrived but the inside is so cute. I came with a friend and the weekday night...
Everything was tasty, and the fancier items were on point.  The menu is surprisingly heavy on the rolls - but on the plus sides - they're tasty and filling....
This is a small little sushi spot that really delivers! We ordered the Agedashi mochi to start - the flavor was really good, but I think I'd stick to tofu..."
