Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Oodle Yunnan Rice Noodle,4.6,"3420 Balboa St, San Francisco, CA 94121","Chinese, Noodles, Soup",37.77600463025901,-122.49563498834335,Not Available,"Amazing spot in the outer Richmond - the service is very good / fast and they give you a lot of guidance on what to order. In general the food is spicy, but...
Tasty noodles .  Friendly service.  Soup was flavorful, although MSG keeps me up and thirsty all night .
Great noodles, traditional Yunnan style, very hospitable owner. noodles We're fresh and tasty, rich sumptuous broth. The cucumber salad and the popcorn..."
The Laundromat,4.6,"3725 Balboa St, San Francisco, CA 94121","Pizza, Bagels, Beer Bar",37.77542873995666,-122.49884228441336,Not Available,"I came in the morning and they were only selling bagels.
I had one bagel and it was great!
I would recommend the everything bagel for sure.
The person...
This place was so cute! It's definitely blown up recently from social media and I'm so glad I got to try it! It doesn't take reservations, so you might have...
I know why they're named the laundromat because they're really cleaning up the bagel scene. I stopped in on a Saturday morning and there were maybe 7 people..."
C.Q. Noodles,4.5,"2121 Clement St, San Francisco, CA 94121","Chinese, Noodles, Soup",37.78219994794561,-122.48209291576292,$$,"One of those unquie one of a kind special places with delicious food you'd never make at home

We had the House Special Beef Rib Noodle Soup and the...
Came here on a Wednesday afternoon because this place has been on my list for a while. I mainly wanted to come here after searching for hand pulled noodles....
We were very excited to try this place out, we love knife cut noodles. The house special beef rib noodle soup was perfect, the beef were tender, noodles..."
Pearl,4.4,"6101 California St, San Francisco, CA 94121","Italian, Seafood, Mediterranean",37.7838344,-122.4830463,$$$,"Great neighborhood restaurant!  Flavorful veg course selection.  Tasty, not too filling, but definitely hearty entrees.
Came here on a Saturday night without a reservation. We waited for 40 minutes before we were seated. I'm normally not a huge fan of Italian but this is one...
The food is so fresh and delicious! 

I got the trout and it was an amazing dish. It was crispy on the outside and tender on the inside. The green beans..."
Lokma,4.6,"1801 Clement St, San Francisco, CA 94121","Mediterranean, Breakfast & Brunch, Vegetarian",37.78215,-122.47867,$$,"Loved my Turkish breakfast special for two. It was super crowed, people love this restaurant. Service was good. I look forward to returning and taking other...
Yup. Lokma is a 5 for me.

My boyfriend and I were wanting to try something new. He suggested checking out Lokma, as a twist to our traditional bottomless...
Lokma had been on my Yelp bookmarks for a while. The small platters, dishes, presentation, and everything about it just looked so appealing. We had decided..."
Kufuya Japanese Restaurant,4.1,"7001 Geary Blvd, San Francisco, CA 94121","Japanese, Sushi Bars",37.7794369,-122.4944874,$$,"My friend and her boyfriend took us to this spot. While the food was decent, I would say it's pricey for the amount of food. It was a very limited AYCE...
Best shabu in the bay area. 
The year round weather sure make it even better. 
Their beef thinly slice, melts in your mouth. Pair with the house sauce is...
Friends and I love coming here for Shabu!  The restaurant is not that big but will be able to accommodate large parties as long as you reserve well in..."
JIJIME,4.3,"5524 Geary Blvd, San Francisco, CA 94121","Korean, Asian Fusion, Ramen",37.7806549278456,-122.478949574806,$$,"In the past years, they've always been known for their small dishes, particularly their quesadillas. They've changed their quesadillas offering over the...
Came here with friends to give this place a try. The exterior and interior gives the restaurant a cozy vibe. The restaurant wasn't crowded so we got seated...
found this cute and cozy spot that was recommended on tiktok and I wasn't disappointed! the food was filling and delicious and the service was good as well!..."
Izakaya links sushi bar ,4.3,"3129 Clement St, San Francisco, CA 94121","Cocktail Bars, Sushi Bars, Venues & Event Spaces",37.7814,-122.49293,$$,"Great ambiance and location (plenty of parking), everyone loved their food and drinks! Nice variety of dishes, we could all order something we liked.
Sooo happy to have found this spot! They have udons and curry, which I've been looking for since I got back from Korea and Japan. 

We got their Osaka fries...
Not sure how this place has such high ratings. Kept it as 3 stars as the food isn't great but also not terrible and there were plenty of seats, and the..."
Anh Hong,4.5,"3123 Clement St, San Francisco, CA 94121","Vietnamese, Asian Fusion",37.781437,-122.492858,Not Available,"My friends always roll their eyes when I suggest going to a restaurant where you roll your own spring roll, because we could always just do it at home (in...
Visiting from Las Vegas and was VERY pleased! I wish more places in Vegas catered to spring rolls like this. I loved the decoration for the name, it had...
Slightly disappointed in the way we were treated. Highly recommend making a reservation on a Friday/ weekend as there can be a lot of people. When we..."
Taste Of Old Street,4.4,"5336 Geary Blvd, San Francisco, CA 94121","Chinese, Kebab, Noodles",37.780714,-122.476806,Not Available,"The food here is amazing. I love their barbecue. It's amazing. The beef noodles are delicious and spicy. They're the best noodles in San Francisco. I'll be...
Very good, every bite is full of flavour, those fried lambs always bring me back for more and there are so many things to eat that are so delicious, I have...
Food  was delicious. Honestly I can say it was one of the best Szechuan skewers places I've tried in the city."
