Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Mama Mu's Bistro,4.6,"1316 Noriega St, San Francisco, CA 94122",Thai,37.75432320802412,-122.4779481,$$,"So happy to have a new go-to in the neighborhood. Great Thai food and service. Different items and more northern Thai food. I reallly enjoyed the curry...
So excited that this place has come to the neighborhood! We've been eating at this site since the rise and fall of Little Beijing which our kids grew up on...
Service was an absolute delight as the owner shared the inspiration behind the start of this restaurant coming from his mom, back in Thailand. 

We got..."
Gao Viet Kitchen & Bar,4.3,"1900 Irving St, San Francisco, CA 94122","Cocktail Bars, Vietnamese, Seafood",37.76373,-122.478392,$$$,"Beef rib pho is a delectable dish that combines the rich flavors of beef, noodles, and aromatic spices. The tender beef ribs add a succulent and meaty...
I finally had a chance to make it over to GAO Viet in San Francisco. I've had dinner at their San Mateo location & was looking forward to trying out this...
First time here, I had high hopes after seeing the sky high prices but unfortunately it was not very good:

Imperial Rolls - Starchy inside and not a lot of..."
Hook Fish,4.3,"4542 Irving St, San Francisco, CA 94122","Seafood, Tacos",37.76237,-122.50685,$$,"Love this place. I went here for the first time by a recommendation from a fellow yelper. This place is well known for their fish and chips and I can see...
We got fish and chips, soup of the day (green curry), and poke and chips to-go. It took about 10 minutes before they texted me my order was ready. We asked...
This fish and chips shop hits the spot! The light and crispy batter perfectly coats the silky and steamy fresh fish. You have to eat it with the lemon,..."
C.Q. Noodles,4.5,"2121 Clement St, San Francisco, CA 94121","Chinese, Noodles, Soup",37.78219994794561,-122.48209291576292,$$,"One of those unquie one of a kind special places with delicious food you'd never make at home

We had the House Special Beef Rib Noodle Soup and the...
Came here on a Wednesday afternoon because this place has been on my list for a while. I mainly wanted to come here after searching for hand pulled noodles....
We were very excited to try this place out, we love knife cut noodles. The house special beef rib noodle soup was perfect, the beef were tender, noodles..."
Damn Fine,4.3,"3410 Judah St, San Francisco, CA 94122","Pizza, Wine Bars, Cocktail Bars",37.76098,-122.4988,$$,"BEST PIZZA IN SAN FRANCISCO! Damn, fine pizza is a hidden gem. By far the best pizza in San Francisco, the atmosphere is wonderful. I get dinner here once...
Got recommended this place by a friend, so made the trip out recently! We went on a Tuesday night, and the place was quite busy, but we still managed to get...
Mushroom pizza was great. The pizza dough is just right for me. Personally don't like thick dough and prefer thin crust. This is more than thin crust but..."
The Laundromat,4.6,"3725 Balboa St, San Francisco, CA 94121","Pizza, Bagels, Beer Bar",37.77542873995666,-122.49884228441336,Not Available,"I came in the morning and they were only selling bagels.
I had one bagel and it was great!
I would recommend the everything bagel for sure.
The person...
This place was so cute! It's definitely blown up recently from social media and I'm so glad I got to try it! It doesn't take reservations, so you might have...
I know why they're named the laundromat because they're really cleaning up the bagel scene. I stopped in on a Saturday morning and there were maybe 7 people..."
Oodle Yunnan Rice Noodle,4.6,"3420 Balboa St, San Francisco, CA 94121","Chinese, Noodles, Soup",37.77600463025901,-122.49563498834335,Not Available,"Amazing spot in the outer Richmond - the service is very good / fast and they give you a lot of guidance on what to order. In general the food is spicy, but...
Tasty noodles .  Friendly service.  Soup was flavorful, although MSG keeps me up and thirsty all night .
Great noodles, traditional Yunnan style, very hospitable owner. noodles We're fresh and tasty, rich sumptuous broth. The cucumber salad and the popcorn..."
Taste Of Old Street,4.4,"5336 Geary Blvd, San Francisco, CA 94121","Chinese, Kebab, Noodles",37.780714,-122.476806,Not Available,"The food here is amazing. I love their barbecue. It's amazing. The beef noodles are delicious and spicy. They're the best noodles in San Francisco. I'll be...
Very good, every bite is full of flavour, those fried lambs always bring me back for more and there are so many things to eat that are so delicious, I have...
Food  was delicious. Honestly I can say it was one of the best Szechuan skewers places I've tried in the city."
Dumpling Bites,4.2,"1556 Noriega St, San Francisco, CA 94122","Noodles, Soup, Chinese",37.754224,-122.480432,Not Available,"Went here for dinner on a Saturday night. We were seated right away and the service was amazing. Definitely have to try their signature XLB! The soup is...
My friends and I enjoyed everything we ordered and we ordered A LOT. I would definitely recommend the dry braised string beans. It was very flavorful and...
We had a pleasant experience.  This place looks pretty new and fresh with nice modern decorations.  I appreciate there was a bar to press for opening the..."
Ofena,4.5,"2529 Ocean Ave, San Francisco, CA 94132","Italian, Bars",37.731264,-122.472851,Not Available,"Best gnocchi I've ever had. Attentive service. Comfortable, modern dining room. Will go again
Seriously impressed with Ofena! From the space, the vibe, the service and of course the amazing food, it did not disappoint. Delicious Italian food...
I saw this place being reviewed by a lot of tiktok foodies, so I really wanted to try. Overall this place was okay. The food wasn't bad but I don't think..."
