Name,Rating,Address,Categories,Latitude,Longitude,Price,Reviews
Rise Over Run,4.1,"33 Turk St, San Francisco, CA 94102","New American, Cocktail Bars",37.78325,-122.40965,Not Available,"Fancy rooftop dining at the top of the LINE hotel. Can be difficult to find, had to ask the lobby front deck how to navigate. Gets busy, so helps to book a...
The food on brunch menu was just not a hit with me. Just seemed like a strange mix of brunch food options.

The ambiance with pano view of SF was beautiful....
Came for brunch on a Sunday. It wasn't too busy but we made a reservation just in case. Great ambience outside and inside. Definitely recommend sitting..."
Bodega,4.4,"138 Mason St, San Francisco, CA 94102","Vietnamese, Noodles",37.784837858877935,-122.4093022,Not Available,"Amazing food. It's really wonderful to see how good Vietnamese food can be with a good budget. I really enjoyed every dish and the drinks.

Food service and...
Hidden gem for Vietnamese food tucked away by the TL. Initially walked passed the front trying to find the restaurant at first. It kind of looks like a hole...
I mean... Bodega might be one of my favorite Vietnamese restaurants in SF. 

SERVICE:
- Disclaimer: I've only eaten at Bodega for lunch
- The service is..."
Delarosa Downtown,3.9,"37 Yerba Buena Ln, San Francisco, CA 94103","Pizza, Italian, Cocktail Bars",37.78566225574775,-122.4042726198749,$$,"Food is always amazing here! The pappardelle is delicious! And I love their Brussel sprouts. The carbonara was interesting, it was like a breakfast pizza....
What truly stands out is the attention to detail in both presentation and taste. The pizzas, with their perfectly thin and crispy crusts, are adorned with...
Just a block away from the SOMO museum and Yerba Buena Gardens, Delarosa is a ""somewhat hidden"" gem. 
There is plenty of pizza and pasta and modern Italian..."
Corzetti,4.2,"398 Geary St, San Francisco, CA 94012","Wine Bars, Italian, Cocktail Bars",37.78732653863763,-122.4097414,$$$,"Went for drinks, should have stayed for dinner. 

Amazing ambience and delicious drinks! Really can't wait to come back for round 2
Overall, this is one of my favorite restaurants. 

Tip: come here with people who like conversation because there is a lot of down time from start to...
Came here for a late lunch and I would recommend for drinks and appetizers and perhaps waiting for dinner when they have a more extensive menu. I was most..."
Kin Khao,3.8,"55 Cyril Magnin St, San Francisco, CA 94102",Thai,37.78524,-122.40933,$$$,"During our long layover in San Francisco, our group of 4 ate dinner at Kin Khao. It was a rainy Saturday evening, and the restaurant was fully booked....
Kin Khao has been on my list for ages and it didn't disappoint! I snagged a reservation earlier this week to celebrate my birthday and was delighted by all...
- caramelized pork belly was the best I've ever had 
- the roasted delicata squash was perfect in texture, sweetness and spice
- the namprik long rua was..."
Mariposas ,4.6,"825 Mission St, San Francisco, CA 94103",Peruvian,37.78385473101616,-122.4047721,Not Available,"My family and I (plus family friends, total of 8) had gone to Mariposas for a last minute dinner. Made a reservation 2 hours before. We got there and were...
Excellent place for lunch close to the Metreon. Authentic flavors, great staff, high quality food and a good price. Great place for kids as well.
We had the ceviche carretillero and chicken empanadas and both were excellent. The empanadas may well be the best ones I ever had"
The Rotunda,3.9,"150 Stockton St, San Francisco, CA 94108","New American, Cocktail Bars, Beer Bar",37.7874117371449,-122.40635645157,$$$,"My friend was visiting from Hawaii & made reservations at The Rotunda for high tea. It's a beautiful setting with a stained glass ceiling. We were seated...
The rotunda has been a staple in my life for AWHILE; that being said.. 
service: impeccable
Favorite: high tea service
Added feature: bar service. The bar...
The food was nothing special. You get a savory and sweet scone. Croissant with chicken, salmon, and cucumber flat toast. And you get five desserts. Keep in..."
Tad’s Steak House,4.0,"38 Ellis St, San Francisco, CA 94102","American, Steakhouses, Breakfast & Brunch",37.785729,-122.406891,$$,"Beau and I decided to make a trip out to downtown on a Friday afternoon for a small shopping and dining venture. We dined at Tad's Steak House, and the...
My Dad started coming here in the 1950's and always loved this place for a good steak dinner for a reasonable price.
He would eventually bring our family...
11/22/2023
*DOOR DASH DELIVERY REVIEW*

We were too lazy to leave the hotel and hubby wanted steak, so we ordered via DoorDash.  The food was delicious and..."
PLS on Post,4.4,"545 Post St, Hotel Zeppelin, San Francisco, CA 94102","American, Bars",37.78787867302384,-122.4107985153434,Not Available,"Food was amazing !
Drink menu is great!
Shakes are a must!
Hidden gem next to the JW Marriott Hotel.
PLS on Post is actually located inside/outside of the...
Small bar / burger joint attached to fun looking hotel.  Being a local, I've never actually stayed at the hotel, but seems to have a lot more rocking...
I came in on a Monday evening with two friends around 8:30PM. Not too many people were in when we first came in but slowly started to fill up as we went on..."
The Harlequin,4.1,"68 4th St, San Francisco, CA 94103","Cocktail Bars, Venues & Event Spaces, New American",37.784896,-122.405047,$$$,"First time at The Harlequin, we were a walking party of two  & our eyes got catch for the decoration... we got seated for Laste and she checked on our table...
We went here with a group of 5 friends, and we had a blast. The selection of drinks is wide so you pretty much have enough options for different preferences...
My experience at The Harlequin on Valentine's Day was a mix of highs and lows. The Black Pink Margarita was a visually appealing and well-balanced cocktail...."
